category,demangled_name,mangled_name,kind,module_or_source,address_or_rva,notes
frontend_gui,CFrontEndView::OnBookMarkSelected,,GPROC32,contentview.obj,0x00B384F0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,CFrontEndView::ShowProvinceTooltip,,GPROC32,contentview.obj,0x00590780,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,CFrontEndView::OnProvinceClicked,,GPROC32,contentview.obj,0x00B384F0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,CFrontEndView::GetToolTip,,GPROC32,contentview.obj,0x009752E0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=68
frontend_gui,"AttachIfNotAttached<TButton,CButtonObserverGlue<CCourtJobsView::CCouncilEntry> >",,GPROC32,courtviewjobs.obj,0x006CFE00,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=40
frontend_gui,CDecisionEntry::IsDisabled,,GPROC32,decisionentry.obj,0x006E65C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=133
frontend_gui,CList<CFixedWindow *>::~CList<CFixedWindow *>,,GPROC32,DynastyTree.obj,0x00D2A350,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=47
frontend_gui,CFixedWindow::GetCreator,,GPROC32,eu3dialoggui.obj,0x008995F0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=7
frontend_gui,CFixedWindow::SetOriginalGoalPosition,,GPROC32,eu3dialoggui.obj,0x0082FC10,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=16
frontend_gui,CFixedWindow::SetHidePosition,,GPROC32,eu3dialoggui.obj,0x0082FC00,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=16
frontend_gui,CFixedWindow::SetShowPosition,,GPROC32,eu3dialoggui.obj,0x0082FBF0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=16
frontend_gui,CFixedWindow::SetStartPosition,,GPROC32,eu3dialoggui.obj,0x0082FBE0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=16
frontend_gui,CFixedWindow::SetAnimationState,,GPROC32,eu3dialoggui.obj,0x00D64040,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=16
frontend_gui,CGuiObject::SetUserData2,,GPROC32,eu3dialoggui.obj,0x00B384F0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,CGuiObject::GetUserDataInt2,,GPROC32,eu3dialoggui.obj,0x00D38D00,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,CGuiObject::GetUserDataVoid2,,GPROC32,eu3dialoggui.obj,0x00D38D00,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,CGuiObject::GetAnyShortcut,,GPROC32,eu3dialoggui.obj,0x0082FBD0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=6
frontend_gui,CGuiObject::GetPriorityShortcut,,GPROC32,eu3dialoggui.obj,0x0082FBD0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=6
frontend_gui,CGuiObject::GetShortcut,,GPROC32,eu3dialoggui.obj,0x0082FBD0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=6
frontend_gui,CGuiObject::IsAcceptingDragBoxToEnd,,GPROC32,eu3dialoggui.obj,0x00430630,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,CGuiObject::GetCustomValue,,GPROC32,eu3dialoggui.obj,0x00F250D0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=4
frontend_gui,CGuiObject::SetAllwaysToFront,,GPROC32,eu3dialoggui.obj,0x00DAD8C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1
frontend_gui,CGuiObject::MoveToFront,,GPROC32,eu3dialoggui.obj,0x00DAD8C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1
frontend_gui,CGuiObject::RemoveFocus,,GPROC32,eu3dialoggui.obj,0x00DAD8C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1
frontend_gui,CGuiObject::GiveFocus,,GPROC32,eu3dialoggui.obj,0x00DAD8C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1
frontend_gui,CGuiObject::SetPriorityAfterParent,,GPROC32,eu3dialoggui.obj,0x00B384F0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,CGuiObject::GetSizeAtScreen,,GPROC32,eu3dialoggui.obj,0x00D38DB0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=14
frontend_gui,CGuiObject::GetPositionAtScreen,,GPROC32,eu3dialoggui.obj,0x00D38DB0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=14
frontend_gui,CGuiObject::SetModulateColor,,GPROC32,eu3dialoggui.obj,0x0082FBC0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,CButtonObserverGlue<CInGameIdler>::OnRightClick,,GPROC32,eu3idler.obj,0x006CFDE0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=25
frontend_gui,CButtonObserverGlue<CInGameIdler>::OnClick,,GPROC32,eu3idler.obj,0x006C91D0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=25
frontend_gui,CButtonObserverGlue<CInGameIdler>::OnDblClick,,GPROC32,eu3idler.obj,0x00933DE0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=25
frontend_gui,CButtonObserverGlue<CInGameIdler>::OnDblClick,,GPROC32,eu3idler.obj,0x006C91B0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
